stock_id,mu,sigma
sh.601718,0.3139948031517673,0.46348694154344083
sz.300124,0.15060018499408012,0.34476039308291906
sh.603583,0.2927185903305429,0.4940071561756949
sh.688018,-0.08628012350200856,0.6730710898153572
sz.000039,0.5705810071097834,0.36091475894360625
sz.002587,0.158357918552149,0.2970821983137728
sz.002627,0.6549032455822393,0.41375736731376334
sh.603669,-0.0015604188285954779,0.4445653595337591
sh.601963,0.11760312095627345,0.2440443869422709
sz.002108,0.48938795388070455,0.4244414071908889
sz.300983,0.5684018343134943,0.3722643563392972
sz.301320,0.2113130590866037,0.41050905945679483
sh.688298,-0.1297314654258065,0.390681141744325
sz.300760,-0.3151545097310446,0.23863559327154435
sh.603466,0.22404815186576774,0.44117165717387397
sz.000938,-0.09215144622932508,0.364471678111771
sh.688232,-0.26107470875945327,0.37337411809136445
sz.300005,0.896401657223134,0.524872438763642
sh.605338,0.5641702450384649,0.4256660223773053
sz.002707,0.06810539450647247,0.3726226622074321
sz.002644,0.18721130278395856,0.3525365061991946
sz.300493,-0.13247305194182737,0.5477820576556338
sz.300967,0.6332269339895404,0.5732707660160631
sz.301059,0.4154215588642725,0.3585893520707828
sz.000661,0.053681612219787345,0.38019331736429585
sz.301291,0.24927049810115792,0.5137521400873789
sh.603917,0.32897897550383676,0.3923011754739466
sh.603949,0.6179575351165688,0.5628821683912016
sz.002201,1.1408419553569544,0.6005937695663849
sh.688078,-0.25669732843508525,0.38282744094346755
sz.002175,-0.3918569585054155,0.47194794921025296
sz.300087,-0.09240710352866051,0.3905522601775779
sz.300481,0.2463244058277475,0.31227400999856275
sh.600513,0.9281552788652359,0.5794795993440324
sz.002409,0.568723534623222,0.4128191967285371
sz.002517,0.4431694863609348,0.4410613575481826
sh.688680,0.8655288723444592,0.6654022440072069
sh.600604,0.20463999400136743,0.4178398124863374
sz.399370,0.3308399219726595,0.1957760296070912
sh.601020,1.209356057962204,0.5854453491406976
